                     Name,Clock.Today,Potato.Leaf.AppearedCohortNo,LeafNodeNoerror,LeafBranchNo
  PotatoCultivarRedRascal, 2004-02-16,                      32.200,          3.000,      61.420
  PotatoCultivarRedRascal, 2004-02-24,                      32.300,          2.900,      62.250
  PotatoCultivarRedRascal, 2004-03-01,                      32.700,          3.200,      63.230
        PotatoCultivarRua, 2003-11-24,                       5.200,          1.500,       5.170
        PotatoCultivarRua, 2003-12-01,                       9.000,          0.900,       9.350
        PotatoCultivarRua, 2003-12-09,                      10.200,          0.800,      11.180
        PotatoCultivarRua, 2003-12-17,                      13.000,          1.300,      14.800
        PotatoCultivarRua, 2003-12-24,                      14.800,          1.200,      18.060
        PotatoCultivarRua, 2003-12-29,                      16.800,          1.800,      22.230
        PotatoCultivarRua, 2004-01-05,                      19.000,          1.100,      28.350
        PotatoCultivarRua, 2004-01-12,                      20.000,          1.100,      31.810
        PotatoCultivarRua, 2004-01-20,                      22.300,          2.300,      37.910
        PotatoCultivarRua, 2004-01-29,                      24.700,          2.000,      44.610
        PotatoCultivarRua, 2004-02-02,                      27.200,          1.200,      50.770
        PotatoCultivarRua, 2004-02-08,                      28.300,          1.400,      53.450
        PotatoCultivarRua, 2004-02-16,                      29.300,          3.000,      56.010
        PotatoCultivarRua, 2004-02-24,                      29.200,          3.000,      56.150
        PotatoCultivarRua, 2004-03-01,                      29.500,          2.900,      57.100
